ID,Cusip,Ticker from BQNT,Name,Pricing Date,Maturity Date,First call date,Redeemable,First Put  Date,Issue Size ($mm),Conversion Premium,Coupon,Conversion Price (at issue),Conversion Ratio (at issue),Conversion Price (adjusted),Conversion Ratio (adjusted),Split,Multiplier,Upper Strike (adjusted),Derivative,Type,Upper Strike,Effective Premium,Derivative Cost,Cost in Bond Points,VWAP Period,Net Proceeds,Date of Transaction,Maturity/Put,Term,Unadjusted Share price at issue,Adjusted Stock price at issue,Adjusted Stock price at maturity,CAGR (Adj),CAGR (unadj),Stock Price,Conversion Price
484,826919AD4 Corp,SLAB,SLAB 0 5/8 06/15/25,5/28/2020,6/15/2025,6/20/2023,Soft/Call,-,535,0.35,0.00625,122.7024002,8.1498,116.1697,8.6081,Yes,0.946759427,,No,,,,,,,535,-,-,-,90.91,90.91,144.0985907,0.095557766,0.095557766,144.0985907,116.1696542
485,156727AB5 Corp,CRNC,CRNC 3 06/01/25,5/29/2020,6/1/2025,6/5/2023,Soft Call,-,175,0.35,0.03,37.41520779,26.7271,37.4152,26.7271,No,,,No,,,,,,,175,-,-,-,29.91,29.91,10.88989316,-0.182780271,-0.182780271,10.88989316,37.41520779
486,23804LAB9 Corp,DDOG,DDOG 0 1/8 06/15/25,5/29/2020,6/15/2025,6/20/2023,Soft Call,-,747.5,0.375,0.00125,92.30371615,10.8338,92.3037,10.8338,No,,151.04,Yes,Capped Call,151.04,1.249963584,89.6,0.119866221,30,657.9,-,-,-,71.27,71.27,120.522231,0.109762476,0.109762476,120.522231,92.30371615
487,539183AA1 Corp,TDOC,TDOC 0 7/8 06/01/25,6/2/2020,6/1/2025,6/5/2023,Soft Call,-,550,0.275,0.00875,75.56919861,13.2329,114.0135,8.2525,Yes,1.508729569,178.8448031,Yes,Capped Call,118.54,1.00000136,60.3,0.109636364,30,489.7,-,-,-,169.87,169.87,8.68419268,-0.448457497,-0.448457497,8.68419268,114.0134844
488,443573AD2 Corp,HUBS,HUBS 0 3/8 06/01/25,6/2/2020,6/1/2025,6/5/2023,Soft Call,-,460,0.325,0.00375,282.5177986,3.5396,282.5178,3.5396,No,,426.44,Yes,Capped Call,426.44,0.999990807,50.6,0.11,30,409.4,-,-,-,211.91,211.91,757.7533746,0.290436997,0.290436997,757.7533746,282.5177986
489,697435AF2 Corp,PANW,PANW 0 3/8 06/01/25,6/4/2020,6/1/2025,6/5/2023,Soft Call,-,2000,0.27501,0.00375,297.6013184,3.3602,49.6002,20.1612,Yes,0.166666675,68.07833674,Yes,Tax Integrated,408.47,0.750003365,168,0.084,120,1832,-,-,-,226.69,37.782,184.7716788,0.374359217,-0.040133223,184.7716788,49.60022221
490,780153BB7 Corp,RCL,RCL 4 1/4 06/15/23,6/5/2020,6/15/2023,-,No,-,1150,0.25,0.0425,72.11261105,13.8672,72.1126,13.8672,No,,,No,,,,,,,1150,6/15/2023,Maturity,3,69.44,69.44,94.72,0.10797934,0.10797934,94.72,72.11261105
491,92214XAB2 Corp,VREX,VREX 4 06/01/25,6/5/2020,6/1/2025,6/1/2023,Soft Call,-,200,0.25,0.04,20.81252081,48.048,20.8125,48.048,No,,24.975,Yes,Tax Integrated,24.975,0.4999985,11.2,0.056,90,188.8,-,-,-,17.68,17.68,12.45378736,-0.067828007,-0.067828007,12.45378736,20.81252081
492,472145AF8 Corp,JAZZ,JAZZ 2 06/15/26,6/9/2020,6/15/2026,6/20/2023,Soft Call,-,1000,0.4,0.02,155.8069241,6.4182,155.8069,6.4182,No,,,No,,,,,,,1000,-,-,-,113.05,113.05,153.8377336,0.052535974,0.052535974,153.8377336,155.8069241
493,377322AB8 Corp,GKOS,GKOS 2 3/4 06/15/27,6/9/2020,6/15/2027,6/20/2024,Soft Call,-,287.5,0.3,0.0275,56.0950025,17.8269,56.095,17.8269,No,,86.3,Yes,Capped Call,86.3,0.999999911,35.7,0.124173913,30,251.8,-,-,-,40.73,40.73,182.1758048,0.237994487,0.237994487,182.1758048,56.0950025
494,679295AF2 Corp,OKTA,OKTA 0 3/8 06/15/26,6/10/2020,6/15/2026,6/20/2023,Soft Call,-,1150,0.325,0.00375,238.5951517,4.1912,238.5952,4.1912,No,,360.14,Yes,Capped Call,360.14,0.999979868,134,0.116521739,30,1016,-,-,-,181.45,181.45,75.00347658,-0.136620463,-0.136620463,75.00347658,238.5951517
495,97717PAB0 Corp,WT,WT 4 1/4 06/15/23,6/10/2020,6/15/2023,6/20/2021,Soft Call,-,175,0.6,0.0425,5.920000553,168.9189,5.92,168.9189,No,,,No,,,,,,,175,6/15/2023,Maturity,3,3.75,3.75,7.31,0.247910416,0.247910416,7.31,5.919997158
496,88339PAB7 Corp,REAL,REAL 3 06/15/25,6/11/2020,6/15/2025,6/20/2023,Soft Call,-,172.5,0.275,0.03,17.77351213,56.2635,17.7735,56.2635,No,,27.88,Yes,Capped Call,27.88,0.999998635,22.5,0.130434783,30,150,-,-,-,12.06,12.06,6.528153894,-0.115278009,-0.115278009,6.528153894,17.77351213
497,29975EAB5 Corp,EB,EB 5 12/01/25,6/11/2020,12/1/2025,6/1/2023,Soft Call,-,150,0.175,0.05,12.59599724,79.3903,12.596,79.3903,No,,17.152,Yes,Capped Call,17.152,0.60000035,15.6,0.104,30,134.4,-,-,-,10.22,10.22,1.92884482,-0.262660736,-0.262660736,1.92884482,12.59599724
498,538030AB3 Corp,LIVN,LIVN 3 12/15/25,6/12/2020,12/15/2025,6/20/2023,Soft Call,-,287.5,0.3,0.03,60.98304671,16.398,60.983,16.398,No,,100,Yes,Capped Call,100,1.13174,43.1,0.149913043,30,244.4,-,-,-,47.56,47.56,40.80728949,-0.027417079,-0.027417079,40.80728949,60.98304671
499,01741RAK8 Corp,ATI,ATI 3 1/2 06/15/25,6/18/2020,6/15/2025,6/15/2023,Soft Call,-,291.4,0.45,0.035,15.48598905,64.5745,15.486,64.5745,No,,19.76,Yes,Capped Call,19.76,0.850188574,19.4,0.066575154,30,272,-,-,-,10.48,10.48,61.30543524,0.424569622,0.424569622,61.30543524,15.48598905
500,228903AB6 Corp,AORT,AORT 4 1/4 07/01/25,6/19/2020,7/1/2025,7/5/2023,Soft Call,-,100,0.35,0.0425,23.46299768,42.6203,23.463,42.6203,No,,,No,,,,,,,100,-,-,-,18.89,18.89,26.10379178,0.066370869,0.066370869,26.10379178,23.46299768
501,02376RAF9 Corp,AAL,AAL 6 1/2 07/01/25,6/23/2020,7/1/2025,7/5/2023,Soft Call,-,1000,0.2,0.065,16.1999987,61.7284,16.2,61.7284,No,,,No,,,,,,,1000,-,-,-,14,14,14.41242562,0.005797728,0.005797728,14.41242562,16.1999987
502,98980GAB8 Corp,ZS,ZS 0 1/8 07/01/25,6/23/2020,7/1/2025,7/5/2023,Soft Call,-,1150,0.375,0.00125,150.795446,6.6315,150.7954,6.6315,No,,246.76,Yes,Capped Call,246.76,1.250034793,145.2,0.12626087,30,1004.8,-,-,-,110.31,110.31,204.516536,0.130799063,0.130799063,204.516536,150.795446
503,69553PAB6 Corp,PD,PD 1 1/4 07/01/25,6/23/2020,7/1/2025,7/6/2023,Soft Call,-,287.5,0.3,0.0125,40.07903586,24.9507,40.079,24.9507,No,,61.66,Yes,Capped Call,61.66,0.999998211,35.7,0.124173913,30,251.8,-,-,-,29.39,29.39,17.03592959,-0.102895908,-0.102895908,17.03592959,40.07903586
504,34984VAC4 Corp,FET,FET 9 08/04/25,7/6/2020,8/4/2025,8/4/2020,Soft/Call,-,316.8627017,0.39,0.09,1.350000024,0.7407,27,0.037,Yes,20.00000151,,No,,,,,,,316.8627017,-,-,-,0.4032,8.064,20.16339551,0.197797311,1.160745827,20.16339551,27.00000251
505,695127AF7 Corp,PCRX,PCRX 0 3/4 08/01/25,7/8/2020,8/1/2025,8/1/2023,Soft Call,-,402.5,0.325,0.0075,71.77514283,13.9324,71.7751,13.9324,No,,,No,,,,,,,402.5,-,-,-,56.54,56.54,22.36131546,-0.167383819,-0.167383819,22.36131546,71.77514283
506,57779BAB0 Corp,MAXN,MAXN 6 1/2 07/15/25,7/10/2020,7/15/2025,7/17/2023,Soft Call,-,200,0.15,0.065,18.19468689,54.9611,1819.4687,0.5496,Yes,99.99999944,,No,,,,,,,200,-,-,-,15.82146686,15.82146686,3.873449024,-0.244718571,-0.244718571,3.873449024,1819.468679
507,19626LAA5 Corp,DBRG,DBRG 5 3/4 07/15/25,7/17/2020,7/15/2025,7/21/2023,Soft Call,-,300,0.25,0.0575,2.299999952,434.7826,8.9089,112.2478,Yes,3.873417721,,No,,,,,,,300,-,-,-,1.9,7.6,11.77527118,0.091625744,0.440853107,11.77527118,8.908860575
508,62886HAX9 Corp,NCLH,NCLH 5 3/8 08/01/25,7/17/2020,8/1/2025,-,No,-,450,0.25,0.05375,18.75001172,53.3333,18.75,53.3333,No,,,No,,,,,,,450,-,-,-,15.27,15.27,23.58646444,0.090117478,0.090117478,23.58646444,18.75001172
509,52603BAD9 Corp,TREE,TREE 0 1/2 07/15/25,7/22/2020,7/15/2025,7/20/2023,Soft Call,-,575,0.3,0.005,461.1907946,2.1683,461.1908,2.1683,No,,709.52,Yes,Tax Integrated,709.52,0.999987881,63,0.109565217,80,512,-,-,-,355.42,355.42,29.38000767,-0.393799028,-0.393799028,29.38000767,461.1907946
510,093712AH0 Corp,BE,BE 2 1/2 08/15/25,8/7/2020,8/15/2025,8/21/2023,Soft Call,-,230,#VALUE!,0.025,16.21250049,61.6808,16.2125,61.6808,No,,,No,,,,,,,230,-,-,-,12.54,12.54,25.64309117,0.153080523,0.153080523,25.64309117,16.21250049
511,92940WAD1 Corp,WIX,WIX 0 08/15/25,8/11/2020,8/15/2025,8/21/2023,Soft Call,-,575,0.45,0,403.0145488,2.4813,403.0145,2.4813,No,,555.88,Yes,Capped Call,555.88,0.999992556,46,0.08,30,529,-,-,-,268.59,268.59,194.2598456,-0.062608443,-0.062608443,194.2598456,403.0145488
512,42330PAK3 Corp,HLX,HLX 6 3/4 02/15/26,8/12/2020,2/15/2026,8/15/2023,Soft Call,-,200,0.45,0.0675,6.974497749,143.3795,6.9745,143.3795,No,,8.4175,Yes,Capped Call,8.4175,0.750000565,10.5,0.0525,30,189.5,-,-,-,4.37,4.37,9.742804413,0.156681463,0.156681463,9.742804413,6.974497749
513,682143AG7 Corp,OMER,OMER 5 1/4 02/15/26,8/12/2020,2/15/2026,8/15/2023,Soft Call,-,225.03,0.275,0.0525,18.4875006,54.0906,18.4875,54.0906,No,,26.1,Yes,Capped Call,26.1,0.799999942,21.7,0.096431587,30,203.33,-,-,-,13.67,13.67,7.501416786,-0.103221298,-0.103221298,7.501416786,18.4875006
514,94419LAM3 Corp,W,W 0 5/8 10/01/25,8/12/2020,10/1/2025,10/4/2022,Soft Call,-,1518,0.325,0.00625,417.1533456,2.3972,417.1533,2.3972,No,,787.078,Yes,Capped Call,787.078,1.499987981,255,0.16798419,30,1263,-,-,-,301.74,301.74,30.31884709,-0.36069942,-0.36069942,30.31884709,417.1533456
515,30050BAF8 Corp,EVH,EVH 3 1/2 12/01/24,8/13/2020,12/1/2024,3/1/2023,Soft Call,-,117.051,0.3,0.035,18.22599136,54.8667,18.226,54.8667,No,,,No,,,,,,,117.051,12/1/2024,Maturity,4.5,14.02,14.02,12.92,-0.018822551,-0.018822551,12.92,18.22599136
516,70202LAB8 Corp,PSN,PSN 0 1/4 08/15/25,8/18/2020,8/15/2025,8/21/2023,Soft Call,-,400,0.35,0.0025,44.86055098,22.2913,44.8606,22.2913,No,,66.46,Yes,Tax Integrated,66.46,0.999997727,41.2,0.103,80,358.8,-,-,-,33.65,33.65,63.96403428,0.137321619,0.137321619,63.96403428,44.86055098
517,163092AF6 Corp,CHGG,CHGG 0 09/01/26,8/18/2020,9/1/2026,9/5/2023,Soft Call,-,1000,0.375,0,107.5523242,9.2978,107.5523,9.2978,No,,156.44,Yes,Capped Call,156.44,1.000003269,103.4,0.1034,30,896.6,-,-,-,78.22,78.22,0.26529013,-0.610181051,-0.610181051,0.26529013,107.5523242
518,03674XAM8 Corp,AR,AR 4 1/4 09/01/26,8/19/2020,9/1/2026,3/1/2024,Soft Call,-,287.5,0.2,0.0425,4.34399959,230.2026,4.344,230.2026,No,,,No,,,,,,,287.5,-,-,-,3.65,3.65,48.24340287,0.533999258,0.533999258,48.24340287,4.34399959
519,596278AB7 Corp,MIDD,MIDD 1 09/01/25,8/19/2020,9/1/2025,9/5/2023,Soft Call,-,747.5,0.33,0.01,128.6239807,7.7746,128.624,7.7746,No,,207.93,Yes,Capped Call,207.93,1.150041529,104.7,0.14006689,30,642.8,-,-,-,94.21,94.21,175.4972753,0.131558026,0.131558026,175.4972753,128.6239807
520,41068XAD2 Corp,HASI,HASI 0 08/15/23,8/19/2020,8/15/2023,-,No,-,143.75,0.275,0,48.3608017,20.6779,47.9294,20.864,No,,,No,,,,,,,143.75,8/15/2023,Maturity,3,38.95,38.95,23.12,-0.160128658,-0.160128658,23.12,47.92944785
521,17243VAB8 Corp,CNK,CNK 4 1/2 08/15/25,8/19/2020,8/15/2025,-,No,-,460,0.3,0.045,14.35200002,69.6767,14.352,69.6767,No,,22.08,Yes,Tax Integrated,22.08,0.999999997,52.7,0.114565217,80,407.3,-,-,-,11.15,11.15,29.42221093,0.214696538,0.214696538,29.42221093,14.35200002
522,29786AAL0 Corp,ETSY,ETSY 0 1/8 09/01/27,8/20/2020,9/1/2027,-,No,-,650,0.525,0.00125,199.9720039,5.0007,199.972,5.0007,No,,327.83,Yes,Capped Call,327.83,1.500053709,74.7,0.114923077,30,575.3,-,-,-,130.09,130.09,30.46235138,-0.186565091,-0.186565091,30.46235138,199.9720039
523,530307AA5 Corp,LBRDA,LBRDA 2 3/4 09/30/50,8/24/2020,9/30/2050,10/5/2023,Call,10/5/2023,575,0.4,0.0275,857.559386,1.1661,857.5594,1.1661,No,,,No,,,,,,,575,10/5/2023,Put,3,138.09,138.09,89.13,-0.131162355,-0.131162355,89.13,857.559386
524,86333MAA6 Corp,LRN,LRN 1 1/8 09/01/27,8/27/2020,9/1/2027,9/6/2024,Soft Call,-,420,0.35,0.01125,52.87955623,18.9109,52.8796,18.9109,No,,86.174,Yes,Capped Call,86.174,1.19999766,60.4,0.143809524,30,359.6,-,-,-,37.7,37.7,215.7939241,0.282540271,0.282540271,215.7939241,52.87955623
525,76680RAH0 Corp,RNG,RNG 0 03/15/26,9/11/2020,3/15/2026,3/20/2023,Soft Call,-,650,0.525,0,424.034262,2.3583,424.0343,2.3583,No,,556.1,Yes,Capped Call,556.1,0.999962211,41.8,0.064307692,30,608.2,-,-,-,254.74,254.74,16.75312278,-0.389727298,-0.389727298,16.75312278,424.034262
526,74346YAG8 Corp,PRO,PRO 2 1/4 09/15/27,9/11/2020,9/15/2027,9/15/2024,Soft Call,-,266.816,0.325,0.0225,41.81703375,23.9137,41.817,23.9137,No,,78.9,Yes,Capped Call,78.9,1.499997982,25.3,0.0948219,30,241.516,-,-,-,31.01,31.01,20.78662349,-0.055455337,-0.055455337,20.78662349,41.81703375
527,82509LAA5 Corp,SHOP,SHOPCN 0 1/8 11/01/25,9/16/2020,11/1/2025,9/15/2023,Soft Call,-,920,0.6,0.125,1440.092163,0.6944,144.0092,6.944,Yes,0.1,,No,,,,,,,920,-,-,-,885.18,88.518,82.01309463,-0.014782719,-0.371348336,82.01309463,144.0092166
528,566330AA4 Corp,MCS,MCS 5 09/15/25,9/18/2020,9/15/2025,-,No,-,100.05,0.225,0.05,11.01275539,90.8038,10.5978,94.3588,No,,17.98,Yes,Capped Call,17.98,0.999999097,16.9,0.168915542,30,83.15,-,-,-,9.85,9.85,19.99276453,0.152364774,0.152364774,19.99276453,10.59784567
529,14161WAB1 Corp,CDLX,CDLX 1 09/15/25,9/18/2020,9/15/2025,9/20/2023,Soft Call,-,230,0.325,0.01,85.1375397,11.7457,85.1375,11.7457,No,,128.51,Yes,Capped Call,128.51,1.000007877,26.5,0.115217391,30,203.5,-,-,-,65.52,65.52,1.786412819,-0.514041422,-0.514041422,1.786412819,85.1375397
530,68213NAD1 Corp,OMCL,OMCL 0 1/4 09/15/25,9/23/2020,9/15/2025,9/20/2023,Soft Call,-,575,0.375,0.0025,97.32265379,10.2751,97.3227,10.2751,No,,141.56,Yes,Tax Integrated,141.56,0.99999684,49.3,0.08573913,125,525.7,-,-,-,70.16,70.16,32.99282142,-0.140643408,-0.140643408,32.99282142,97.32265379
531,83417MAD6 Corp,SEDG,SEDG 0 09/15/25,9/23/2020,9/15/2025,-,No,-,632.5,0.5,0,277.8009279,3.5997,277.8009,3.5997,No,,,No,,,,,,,632.5,-,-,-,189.44,189.44,12.29412463,-0.422722444,-0.422722444,12.29412463,277.8009279
532,17144CAB0 Corp,CTEV,CTEV 6 10/15/27,10/8/2020,10/15/2027,10/8/2023,Soft Call,-,1300,0.321138,0.06,12.99999619,76.9231,519.9997,1.9231,Yes,39.99998934,,No,,,,,,,1300,-,-,-,9.84,393.6,32.9774737,-0.297587592,0.188020434,32.9774737,519.9997088
533,33835LAA3 Corp,FVRR,FVRR 0 11/01/25,10/8/2020,11/1/2025,11/5/2023,Soft Call,-,460,0.4,0,213.5702539,4.6823,213.5703,4.6823,No,,305.1,Yes,Capped Call,305.1,1,43.2,0.093913043,30,416.8,-,-,-,155.24,155.24,20.66823,-0.328463541,-0.328463541,20.66823,213.5702539
534,780153BF8 Corp,RCL,RCL 2 7/8 11/15/23,10/14/2020,11/15/2023,-,No,-,575,0.375,0.02875,82.5000825,12.1212,82.5001,12.1212,No,,,No,,,,,,,575,11/15/2023,Maturity,3,59.91,59.91,102.81,0.191234538,0.191234538,102.81,82.5000825
535,66980MAB2 Corp,NVMI,NVMI 0 10/15/25,10/14/2020,10/15/2025,10/20/2023,Soft Call,-,200,0.3,0,74.60014323,13.4048,74.6001,13.4048,No,,,No,,,,,,,200,-,-,-,58.37,58.37,267.9126329,0.35608592,0.35608592,267.9126329,74.60014323
536,75737FAC2 Corp,RDFN,RDFN 0 10/15/25,10/16/2020,10/15/2025,10/20/2023,Soft Call,-,661.25,0.4,0,72.50580046,13.792,72.5058,13.792,No,,,No,,,,,,,661.25,-,-,-,48.4,48.4,4.983461971,-0.365506182,-0.365506182,4.983461971,72.50580046
537,67011XAB9 Corp,NVCR,NVCR 0 11/01/25,11/3/2020,11/1/2025,11/6/2023,Soft Call,-,575,0.5,0,168.2397079,5.9439,168.2397,5.9439,No,,,No,,,,,,,575,-,-,-,113.83,113.83,14.51497122,-0.337916289,-0.337916289,14.51497122,168.2397079
538,852234AJ2 Corp,XYZ,XYZ 0 05/01/26,11/10/2020,5/1/2026,11/5/2023,Soft Call,-,575,0.625,0,299.1325157,3.343,299.1325,3.343,No,,368.16,Yes,Tax Integrated,368.16,0.99998318,20,0.034782609,80,555,-,-,-,172,172,45.82560935,-0.214614157,-0.214614157,45.82560935,299.1325157
539,852234AK9 Corp,XYZ,XYZ 0 1/4 11/01/27,11/10/2020,11/1/2027,11/5/2024,Soft Call,-,575,0.625,0.0025,299.1325157,3.343,299.1325,3.343,No,,414.18,Yes,Tax Integrated,414.18,1.249981078,36.3,0.063130435,80,538.7,-,-,-,172,172,31.9448855,-0.214440819,-0.214440819,31.9448855,299.1325157
540,29664WAB1 Corp,ESPR,ESPR 4 11/15/25,11/12/2020,11/15/2025,11/20/2023,Soft Call,-,280,0.2,0.04,33.09603476,30.2151,33.096,30.2151,No,,55.16,Yes,Capped Call,55.16,0.999997899,41.1,0.146785714,30,238.9,-,-,-,27.83,27.83,1.076497772,-0.477639853,-0.477639853,1.076497772,33.09603476
541,74736LAF6 Corp,QTWO,QTWO 0 1/8 11/15/25,11/12/2020,11/15/2025,11/20/2023,Soft Call,-,350,0.325,0.00125,140.1443487,7.1355,140.1443,7.1355,No,,211.54,Yes,Capped Call,211.54,1.000012863,39.8,0.113714286,30,310.2,-,-,-,105,105,84.67451057,-0.042047946,-0.042047946,84.67451057,140.1443487
542,40131MAB5 Corp,GH,GH 0 11/15/27,11/17/2020,11/15/2027,11/20/2024,Soft Call,-,1150,0.34,0,139.8151644,7.1523,139.8152,7.1523,No,,182.6,Yes,Capped Call,182.6,0.750053373,90,0.07826087,30,1060,-,-,-,106.48,106.48,24.16351862,-0.191068953,-0.191068953,24.16351862,139.8151644
543,722304AC6 Corp,PDD,PDD 0 12/01/25,11/18/2020,12/1/2025,12/6/2023,Soft Call,12/1/2023,2000,0.525,0,190.6250596,5.2459,190.6251,5.2459,No,,,No,,,,,,,2000,12/1/2023,Put,3,132.38,132.38,147.44,0.036124951,0.036124951,147.44,190.6250596
544,530307AC1 Corp,LBRDA,LBRDA 1 1/4 09/30/50,11/19/2020,9/30/2050,10/5/2023,Call,10/5/2023,825,0.4009,0.0125,900.0090001,1.1111,900.009,1.1111,No,,,No,,,,,,,825,10/5/2023,Put,3,157.14,157.14,89.13,-0.178843303,-0.178843303,89.13,900.0090001
545,38268TAD5 Corp,GPRO,GPRO 1 1/4 11/15/25,11/20/2020,11/15/2025,11/20/2023,Soft Call,-,143.75,0.35,0.0125,9.32849744,107.1984,9.3285,107.1984,No,,12.0925,Yes,Capped Call,12.0925,0.75000048,10.2,0.070956522,30,133.55,-,-,-,6.76,6.76,0.517206886,-0.402797474,-0.402797474,0.517206886,9.32849744
546,595017AU8 Corp,MCHP,MCHP 0 1/8 11/15/24,11/20/2020,11/15/2024,11/20/2022,Soft Call,-,665.514,0.4,0.00125,186.8670044,5.3514,90.9306,10.9974,Yes,0.486605883,113.661402,Yes,Capped Call,233.58,0.749971864,35.8,0.053793008,30,629.714,11/15/2024,Maturity,4,130.98,65.49,65.6,0.00042111,-0.130768591,74.919,90.93058359
547,090043AB6 Corp,BILL,BILL 0 12/01/25,11/25/2020,12/1/2025,12/5/2023,Soft Call,-,1150,0.475,0,160.877749,6.2159,160.8777,6.2159,No,,218.14,Yes,Capped Call,218.14,1.000006228,87.9,0.076434783,30,1062.1,-,-,-,114.03,114.03,48.9721484,-0.155052147,-0.155052147,48.9721484,160.877749
548,65341BAD8 Corp,XIFR,XIFR 0 11/15/25,12/1/2020,11/15/2025,-,No,-,600,0.2,0,76.1638031,13.1296,70.1981,14.2454,Yes,0.921672713,111.1472775,Yes,Capped Call,120.593,0.900004912,63,0.105,30,537,-,-,-,64,64,6.541165561,-0.368870751,-0.368870751,6.541165561,70.19809904
549,538146AD3 Corp,LPSN,LPSN 0 12/15/26,12/2/2020,12/15/2026,12/20/2023,Soft Call,-,517.5,0.425,0,75.22586566,13.2933,75.2259,13.2933,No,,105.58,Yes,Capped Call,105.58,0.999996925,46.1,0.089082126,30,471.4,-,-,-,55.5,55.5,0.209883912,-0.603086124,-0.603086124,0.209883912,75.22586566
550,82452JAB5 Corp,FOUR,FOUR 0 12/15/25,12/3/2020,12/15/2025,12/20/2023,Soft Call,-,690,0.45,0,80.47512514,12.4262,80.4751,12.4262,No,,,No,,,,,,,690,-,-,-,59.97,59.97,109.9128124,0.12790977,0.12790977,109.9128124,80.47512514
551,594972AC5 Corp,MSTR,MSTR 0 3/4 12/15/25,12/9/2020,12/15/2025,12/20/2023,Soft Call,-,650,0.375,0.0075,397.9941097,2.5126,397.9941,2.5126,No,,,No,,,,,,,650,-,-,-,286.21,28.621,294.9423312,0.591979007,0.00600882,294.9423312,397.9941097
552,90353TAJ9 Corp,UBER,UBER 0 12/15/25,12/9/2020,12/15/2025,12/20/2023,Soft Call,-,1150,0.525,0,80.84009022,12.3701,80.8401,12.3701,No,,,No,,,,,,,1150,-,-,-,53.79,53.79,81.29721541,0.085814507,0.085814507,81.29721541,80.84009022
553,70509VAA8 Corp,PEB,PEB 1 3/4 12/15/26,12/11/2020,12/15/2026,12/20/2023,Soft Call,-,750,0.35,0.0175,25.47452675,39.2549,25.4745,39.2549,No,,33.0225,Yes,Capped Call,33.0225,0.749998163,59.3,0.079066667,30,690.7,-,-,-,18.58,18.58,10.31963667,-0.093192454,-0.093192454,10.31963667,25.47452675
554,53228RAA3 Corp,ZEVY,ZEVY 7 1/2 05/15/24,12/15/2020,5/15/2024,5/15/2022,Soft Call,-,100,0.15,0.075,11.50000286,86.9565,230.0001,4.3478,Yes,20.00002302,,No,,,,,,,100,5/15/2024,Maturity,3.5,11.2,224,0.0701,-0.905749448,-0.773497412,0.0701,230.000322
555,91879QAN9 Corp,MTN,MTN 0 01/01/26,12/16/2020,1/1/2026,1/1/2024,Soft Call,-,575,0.475,0,407.1661377,2.456,369.35,2.7075,Yes,0.885142301,,No,,,,,,,575,-,-,-,279.69,279.69,142.5352634,-0.125151264,-0.125151264,142.5352634,360.3999719
556,64049MAB6 Corp,NEO,NEO 0 1/4 01/15/28,1/7/2021,1/15/2028,1/20/2025,Soft Call,-,345,0.35,0.0025,66.1498161,15.1172,66.1498,15.1172,No,,,No,,,,,,,345,-,-,-,53.52,53.52,3.323377608,-0.326827845,-0.326827845,3.323377608,66.1498161
557,866082AA8 Corp,INN,INN 1 1/2 02/15/26,1/8/2021,2/15/2026,2/20/2024,Soft Call,-,287.5,0.375,0.015,11.99000549,83.4028,11.0821,90.2357,Yes,0.901796152,13.76140928,Yes,Capped Call,15.26,0.749999251,21.1,0.073391304,30,266.4,-,-,-,8.61,8.61,6.04004918,-0.067115938,-0.067115938,6.04004918,10.81254082
558,10316TAB0 Corp,BOX,BOX 0 01/15/26,1/12/2021,1/15/2026,1/20/2024,Soft Call,-,345,0.45,0,25.7954998,38.7665,25.7757,38.7962,No,,35.58,Yes,Capped Call,35.58,1.000000015,27.8,0.08057971,30,317.2,-,-,-,17.5,17.5,37.17906149,0.162366727,0.162366727,37.17906149,25.77572044
559,256163AD8 Corp,DOCU,DOCU 0 01/15/24,1/13/2021,1/15/2024,-,No,-,690,0.6,0,420.2386956,2.3796,420.2387,2.3796,No,,523.3,Yes,Capped Call,523.3,0.992391488,31.4,0.045507246,30,658.6,1/15/2024,Maturity,3,255.85,255.85,63.55,-0.370856959,-0.398493135,55.524,420.2386956
560,76029LAA8 Corp,RPAY,RPAY 0 02/01/26,1/14/2021,2/1/2026,2/5/2024,Soft Call,-,440,0.4,0,33.60000538,29.7619,33.6,29.7619,No,,,No,,,,,,,440,-,-,-,24.76,24.76,5.521156052,-0.257194028,-0.257194028,5.521156052,33.60000538
561,011642AB1 Corp,ALRM,ALRM 0 01/15/26,1/15/2021,1/15/2026,1/20/2024,Soft Call,-,500,0.475,0,147.1908624,6.7939,147.1909,6.7939,No,,,No,,,,,,,500,-,-,-,97.61,97.61,51.81401314,-0.11897023,-0.11897023,51.81401314,147.1908624
562,08265TAB5 Corp,BSY,BSY 0 1/8 01/15/26,1/22/2021,1/15/2026,1/20/2024,Soft Call,-,690,0.45,0.00125,64.13339747,15.5925,64.1334,15.5925,No,,72.98,Yes,Capped Call,72.98,0.650013943,25.53,0.037,,664.47,-,-,-,45.85,45.85,43.8302715,-0.009004489,-0.009004489,43.8302715,64.13339747
563,10806XAD4 Corp,BBIO,BBIO 2 1/4 02/01/29,1/26/2021,2/1/2029,2/26/2026,Soft Call,-,747.5,0.475,0.0225,97.04027171,10.305,97.0403,10.305,No,,131.58,Yes,Capped Call,131.58,0.999999553,61.3,0.082006689,,686.2,-,-,-,62.33,62.33,19.03812867,-0.137562811,-0.137562811,19.03812867,97.04027171
564,86771WAB1 Corp,RUN,RUN 0 02/01/26,1/26/2021,2/1/2026,2/6/2024,Soft Call,-,400,0.5,0,117.9147948,8.4807,117.9148,8.4807,No,,157.22,Yes,Capped Call,157.22,1.000003481,28,0.07,,372,-,-,-,75.71,75.71,4.25351118,-0.436866178,-0.436866178,4.25351118,117.9147948
